,reln_id,reln_type,startNode,endNode,reln_prop_id,reln_contrast_id,reln_task_id,reln_disorder
536,42938,ASSERTS,23688,25563,,,,
537,42933,ASSERTS,23688,25091,,,,
538,42928,ASSERTS,23688,25388,,,,
539,42923,ASSERTS,23688,25324,,,,
540,42918,ASSERTS,23688,25543,,,,
541,42913,ASSERTS,23688,25564,,,,
542,42908,ASSERTS,23688,25223,,,,
543,42903,ASSERTS,23688,25108,,,,
544,42898,ASSERTS,23688,25107,,,,
545,42893,ASSERTS,23688,25062,,,,
546,40773,HASCONTRAST,23688,26028,,,,
547,69967,HASCITATION,23689,30609,,,,
548,69966,HASCITATION,23689,30608,,,,
549,53595,HASINDICATOR,23689,30189,ind_4de96c5a9b968,,,
550,45846,ASSERTS,23689,25653,,,,
551,42948,ASSERTS,23689,25126,,,,
552,42943,ASSERTS,23689,25234,,,,
553,41134,HASCONTRAST,23689,26390,,,,
